"","from_city","to_city"
"940","Rotterdam","Brussels"
"941","Clermont-Ferrand","Toulouse"
"942","Malaga","Zaragoza"
"943","Malaga","Barcelona"
"944","Sevilla","Zaragoza"
"945","Sevilla","Barcelona"
"946","Turin","Venice"
"947","Genoa","Turin"
"948","Salzburg","Budapest"
"949","Paris","Milan"
"950","Strasbourg","Mannheim"
"951","Stuttgart","Zagreb"
"952","Lugano","Basel"
"953","Zurich","Paris"
"954","London","Glasgow"
"955","Sevilla","Madrid"
"956","Plymouth","Glasgow"
"957","Dublin","Belfast"
"958","Inverness","Glasgow"
"959","Zurich","Bern"
"960","Vienna","Nuremberg"
"961","Nuremberg","Berlin"
"962","Brussels","Lyon"
"963","Rostock","Dresden"
"964","Prague","Vienna"
"965","Montpellier","Girona"
"966","Milan","Pisa"
"967","Thessaloniki","Athens"
"968","Stavanger","Oslo"
"969","Zurich","Graz"
"970","Brussels","Rotterdam"
"971","Paris","Rotterdam"
"972","Murcia","Barcelona"
"973","Berlin","Copenhagen"
"974","Birmingham","Exeter"
"975","Glasgow","Exeter"
"976","Munich","Bologna"
"977","Bologna","Catania"
"978","Valladolid","Oviedo"
"979","Constanta","Cluj-Napoca"
"980","Naples","Palermo"
"981","Augsburg","Vienna"
"982","Genoa","Catania"
"983","Prague","Berlin"
"984","Berlin","Amsterdam"
"985","Chisinau","Iasi"
"986","Cologne","Basel"
"987","Genoa","Pisa"
"988","Malaga","Madrid"
"989","Katowice","Berlin"
"990","Doncaster","Newcastle"
"991","Copenhagen","Ronneby"
"992","Munich","Malmo"
"993","Cardiff","Swansea"
"994","Paris","Vienna"
"995","Wroclaw","Berlin"
"996","Dresden","Basel"
"997","Montpellier","Strasbourg"
"998","Gdansk","Warsaw"
"999","Cardiff","Southampton"
"1000","Naples","Turin"
"1001","Barcelona","Salamanca"
"1002","Groningen","Rotterdam"
"1003","Naples","Milan"
"1004","Manchester","Norwich"
"1005","Trieste","Milan"
"1006","Ljubljana","Zurich"
"1007","Bratislava","Hamburg"
"1008","Krakow","Berlin"
"1009","Duesseldorf","Verona"
"1010","Metz","Paris"
"1011","Toulouse","Clermont-Ferrand"
"1012","Munich","Augsburg"
"1013","Frankfurt","Augsburg"
"1014","Milan","Trieste"
"1015","Vienna","Stuttgart"
"1016","Malmo","Berlin"
"1017","Vienna","Katowice"
"1018","Rome","Palermo"
"1019","Brussels","Nuremberg"
"1020","Innsbruck","Nuremberg"
"1021","Bucharest","Chisinau"
"1022","Venice","Rimini"
"1023","Dresden","Zurich"
"1024","Munich","Venice"
"1025","Amsterdam","Chambery-Savoie"
"1026","Manchester","Edinburgh"
"1027","Lyon","Brussels"
"1028","Girona","Zaragoza"
"1029","Poznan","Katowice"
"1030","Prague","Budapest"
"1031","Graz","Salzburg"
"1032","Graz","Linz"
"1033","Linz","Brussels"
"1034","Bilbao","Zaragoza"
"1035","Marseille","Paris"
"1036","Marseille","Antwerp"
"1037","Turin","Rome"
"1038","Cluj-Napoca","Constanta"
"1039","Cluj-Napoca","Bucharest"
"1040","Inverness","Newcastle"
"1041","Venice","Lamezia Terme"
"1042","Leeds","Edinburgh"
"1043","Augsburg","Mannheim"
"1044","Duesseldorf","Munich"
"1045","Nuremberg","Cologne"
"1046","Montpellier","Luxembourg"
"1047","Reus","Zaragoza"
"1048","Trieste","Naples"
"1049","Dortmund","Berlin"
"1050","Ankara","Istanbul"
"1051","Paris","Marseille"
"1052","Frankfurt","Marseille"
"1053","Swansea","Manchester"
"1054","Strasbourg","Brussels"
"1055","Kosice","Vienna"
"1056","Rimini","Ancona"
"1057","Paris","Strasbourg"
"1058","Berlin","Duesseldorf"
"1059","Rotterdam","Paris"
"1060","Genoa","Venice"
"1061","Duesseldorf","Vienna"
"1062","Cologne","Rostock"
"1063","Brussels","Montpellier"
"1064","Ostend","Kortrijk"
"1065","Munich","Saarbruecken"
"1066","Linz","Zurich"
"1067","Malmo","Stockholm"
"1068","Ljubljana","Munich"
"1069","Munich","Hamburg"
"1070","Chambery-Savoie","Brussels"
"1071","Basel","Cologne"
"1072","Zurich","Berlin"
"1073","Warsaw","Bratislava"
"1074","Ljubljana","Trieste"
"1075","Lyon","Frankfurt"
"1076","Bern","Hannover"
"1077","Murcia","Alicante"
"1078","Frankfurt","Innsbruck"
"1079","Hamburg","Westerland"
"1080","Edinburgh","Doncaster"
"1081","Milan","Lugano"
"1082","Budapest","Prague"
"1083","Debrecen","Vienna"
"1084","Linz","Hamburg"
"1085","Linz","Berlin"
"1086","Bordeaux","Marseille"
"1087","Krakow","Graz"
"1088","Gothenburg","Malmo"
"1089","Marseille","Frankfurt"
"1090","Frankfurt","Saarbruecken"
"1091","Cologne","Paris"
"1092","Luxembourg","Marseille"
"1093","Exeter","Newquay"
"1094","Budapest","Kosice"
"1095","Berlin","Mannheim"
"1096","Edinburgh","London"
"1097","Aberdeen","London"
"1098","Hannover","Duesseldorf"
"1099","Malmo","Innsbruck"
"1100","Graz","Augsburg"
"1101","Salzburg","Augsburg"
"1102","Linz","Augsburg"
"1103","Prague","Zurich"
"1104","Pescara","Turin"
"1105","Zagreb","Rijeka"
"1106","Cluj-Napoca","Budapest"
"1107","Mannheim","Dortmund"
"1108","Basel","Dortmund"
"1109","Ljubljana","Salzburg"
"1110","Chambery-Savoie","Amsterdam"
"1111","Milan","Catania"
"1112","Frankfurt","Westerland"
"1113","Genoa","Verona"
"1114","Graz","Frankfurt"
"1115","Venice","Munich"
"1116","Timisoara","Bucharest"
"1117","Lyon","Toulouse"
"1118","Rostock","Bremen"
"1119","Montpellier","Metz"
"1120","Madrid","Bilbao"
"1121","Stuttgart","Budapest"
"1122","Strasbourg","Bordeaux"
"1123","Brussels","Marseille"
"1124","Venice","Klagenfurt"
"1125","Milan","Klagenfurt"
"1126","Liege","Vienna"
"1127","Manchester","Newcastle"
"1128","Strasbourg","Linz"
"1129","Dortmund","Bremen"
"1130","Berlin","Bratislava"
"1131","Granada","Zaragoza"
"1132","Mannheim","Prague"
"1133","Vienna","Rome"
"1134","Geneva","Milan"
"1135","Amsterdam","Duesseldorf"
"1136","Catania","Palermo"
"1137","Cologne","Verona"
"1138","Innsbruck","Munich"
"1139","Oviedo","Alicante"
"1140","Oslo","Karlstad"
"1141","Ostrava","Warsaw"
"1142","Budapest","Stuttgart"
"1143","Stuttgart","Saarbruecken"
"1144","Frankfurt","Berlin"
"1145","Bern","Berlin"
"1146","Trieste","Rimini"
"1147","Rimini","Milan"
"1148","Turin","Naples"
"1149","Porto","Faro"
"1150","Norrkoping","Hamburg"
"1151","Pardubice","Budapest"
"1152","Marseille","Geneva"
"1153","Bologna","Zurich"
"1154","Berlin","Budapest"
"1155","Valladolid","Valencia"
"1156","Bremen","Dresden"
"1157","Bremen","Nuremberg"
"1158","Rostock","Frankfurt"
"1159","Salzburg","Mannheim"
"1160","Trieste","Ancona"
"1161","Nuremberg","Brussels"
"1162","Graz","Munich"
"1163","Rotterdam","Chambery-Savoie"
"1164","Prague","Warsaw"
"1165","Glasgow","Manchester"
"1166","Poprad","Prague"
"1167","Hamburg","Innsbruck"
"1168","Berlin","Munich"
"1169","Augsburg","Dortmund"
"1170","Aberdeen","Bristol"
"1171","Linz","Bratislava"
"1172","Bratislava","Katowice"
"1173","Dresden","Stuttgart"
"1174","Verona","Duesseldorf"
"1175","Dortmund","Augsburg"
"1176","Dortmund","Munich"
"1177","Mannheim","Hannover"
"1178","Luxembourg","Montpellier"
"1179","Munich","Dortmund"
"1180","Montpellier","Paris"
"1181","Zurich","Salzburg"
"1182","Prague","Basel"
"1183","Bordeaux","Strasbourg"
"1184","Zagreb","Zurich"
"1185","Innsbruck","Bratislava"
"1186","Bristol","Manchester"
"1187","Graz","Split"
"1188","Zaragoza","Malaga"
"1189","Frankfurt","Salzburg"
"1190","Innsbruck","Ljubljana"
"1191","Rostock","Duesseldorf"
"1192","Trieste","Rome"
"1193","Aberdeen","Plymouth"
"1194","Montpellier","Brussels"
"1195","Pescara","Rome"
"1196","Leeds","Bristol"
"1197","Basel","Duesseldorf"
"1198","Strasbourg","Munich"
"1199","Geneva","Verona"
"1200","Duesseldorf","Rostock"
"1201","Cologne","Bremen"
"1202","Pardubice","Bratislava"
"1203","Newcastle","Bristol"
"1204","Pisa","Milan"
"1205","Basel","Amsterdam"
"1206","Berlin","Vienna"
"1207","Stockholm","Oslo"
"1208","Marseille","Lille"
"1209","Trieste","Ljubljana"
"1210","Venice","Genoa"
"1211","Iasi","Bucharest"
"1212","Ljubljana","Frankfurt"
"1213","Verona","Zurich"
"1214","Mannheim","Hamburg"
"1215","Valencia","Zaragoza"
"1216","Bratislava","Berlin"
"1217","Venice","Zurich"
"1218","Cluj-Napoca","Timisoara"
"1219","Munich","Strasbourg"
"1220","Nantes","Marseille"
"1221","Paris","Geneva"
"1222","Paris","Amsterdam"
"1223","Prague","Graz"
"1224","Girona","Valencia"
"1225","Hannover","Amsterdam"
"1226","Strasbourg","Augsburg"
"1227","Zurich","Augsburg"
"1228","Trieste","Florence"
"1229","Innsbruck","Duesseldorf"
"1230","Berlin","Innsbruck"
"1231","Saarbruecken","Frankfurt"
"1232","Hannover","Basel"
"1233","Bologna","Lamezia Terme"
"1234","Edinburgh","Birmingham"
"1235","Edinburgh","Manchester"
"1236","Toulouse","Marseille"
"1237","Turin","Verona"
"1238","Klagenfurt","Cologne"
"1239","Paderborn","Nuremberg"
"1240","Dortmund","Mannheim"
"1241","Augsburg","Basel"
"1242","Graz","Berlin"
"1243","Stuttgart","Hamburg"
"1244","Bern","Milan"
"1245","Paris","Chambery-Savoie"
"1246","Salzburg","Verona"
"1247","Southampton","Cardiff"
"1248","Augsburg","Memmingen"
"1249","Brussels","Strasbourg"
"1250","Hannover","Dortmund"
"1251","Bucharest","Timisoara"
"1252","Zagreb","Augsburg"
"1253","Oviedo","Valladolid"
"1254","Gdansk","Krakow"
"1255","Gdansk","Ostrava"
"1256","Pardubice","Ostrava"
"1257","Lugano","Genoa"
"1258","Cologne","Zurich"
"1259","Karlstad","Oslo"
"1260","Hamburg","Dresden"
"1261","Zurich","Dresden"
"1262","Verona","Cologne"
"1263","Stuttgart","Berlin"
"1264","Duesseldorf","Nuremberg"
"1265","Iasi","Timisoara"
"1266","Warsaw","Prague"
"1267","Munich","Cologne"
"1268","Dortmund","Basel"
"1269","Berlin","Stuttgart"
"1270","Strasbourg","Lyon"
"1271","Poznan","Gdansk"
"1272","Zaragoza","Reus"
"1273","Murcia","Zaragoza"
"1274","Doncaster","Liverpool"
"1275","Zaragoza","Bilbao"
"1276","Budapest","Berlin"
"1277","Frankfurt","Rostock"
"1278","Brno","Berlin"
"1279","Brno","Dresden"
"1280","Dresden","Hannover"
"1281","Genoa","Rome"
"1282","Stuttgart","Venice"
"1283","Graz","Krakow"
"1284","Bologna","Lugano"
"1285","Rome","Pescara"
"1286","Innsbruck","Graz"
"1287","Lille","Rotterdam"
"1288","Barcelona","Valladolid"
"1289","Newcastle","Doncaster"
"1290","Bratislava","Prague"
"1291","Dortmund","Innsbruck"
"1292","Dresden","Cologne"
"1293","Klagenfurt","Rome"
"1294","Paris","Montpellier"
"1295","Ostrava","Pardubice"
"1296","Nuremberg","Duesseldorf"
"1297","Jonkoping","Gothenburg"
"1298","Barcelona","Bilbao"
"1299","Rome","Pisa"
"1300","Gdansk","Poznan"
"1301","Saarbruecken","Stuttgart"
"1302","Dortmund","Hannover"
"1303","Bristol","Aberdeen"
"1304","Salzburg","Bologna"
"1305","Frankfurt","Prague"
"1306","Dresden","Saarbruecken"
"1307","Turin","Pisa"
"1308","Glasgow","Plymouth"
"1309","Amsterdam","Paris"
"1310","Florence","Vienna"
"1311","Gdansk","Vienna"
"1312","Vienna","Verona"
"1313","Chambery-Savoie","Nantes"
"1314","Vaxjo","Gothenburg"
"1315","Venice","Lugano"
"1316","Split","Graz"
"1317","Augsburg","Salzburg"
"1318","Milan","Pescara"
"1319","Florence","Turin"
"1320","Chambery-Savoie","Antwerp"
"1321","Luxembourg","Lyon"
"1322","Munich","Genoa"
"1323","Valladolid","Barcelona"
"1324","Venice","Pescara"
"1325","Manchester","Cardiff"
"1326","Glasgow","Bristol"
"1327","Innsbruck","Linz"
"1328","Milan","Salzburg"
"1329","Linz","Dortmund"
"1330","Prague","Katowice"
"1331","Zagreb","Ljubljana"
"1332","Bournemouth","Manchester"
"1333","Paris","Liege"
"1334","Constanta","Iasi"
"1335","Nuremberg","Hannover"
"1336","Florence","Salzburg"
"1337","Southampton","Manchester"
"1338","Basel","Dresden"
"1339","Vienna","Dortmund"
"1340","Berlin","Malmo"
"1341","Girona","Alicante"
"1342","Bologna","Salzburg"
"1343","Salzburg","Genoa"
"1344","Lille","Montpellier"
"1345","Strasbourg","Marseille"
"1346","Newcastle","Birmingham"
"1347","Augsburg","Berlin"
"1348","Ancona","Trieste"
"1349","Stuttgart","Cologne"
"1350","Innsbruck","Hamburg"
"1351","Barcelona","Santiago de Compostela"
"1352","Wroclaw","Gdansk"
"1353","Birmingham","Edinburgh"
"1354","Manchester","Southampton"
"1355","Lille","Marseille"
"1356","Paris","Salzburg"
"1357","Malmo","Norrkoping"
"1358","Nuremberg","Paderborn"
"1359","Augsburg","Amsterdam"
"1360","Amsterdam","Munich"
"1361","Salzburg","Saarbruecken"
"1362","Newcastle","Liverpool"
"1363","Plymouth","Newcastle"
"1364","Hamburg","Nuremberg"
"1365","Split","Bratislava"
"1366","Copenhagen","Berlin"
"1367","Zurich","Bologna"
"1368","Amsterdam","Hannover"
"1369","Duesseldorf","Augsburg"
"1370","Zurich","Hannover"
"1371","Catania","Bologna"
"1372","Zaragoza","Murcia"
"1373","Stuttgart","Basel"
"1374","Bologna","Vienna"
"1375","Burgas","Plovdiv"
"1376","Verona","Munich"
"1377","Rome","Trieste"
"1378","Westerland","Bremen"
"1379","Frankfurt","Strasbourg"
"1380","Zurich","Zagreb"
"1381","Basel","Prague"
"1382","Rome","Genoa"
"1383","Cluj-Napoca","Iasi"
"1384","Manchester","Bristol"
"1385","Prague","Hamburg"
"1386","Ancona","Turin"
"1387","Bristol","Glasgow"
"1388","Bremen","Dortmund"
"1389","Dortmund","Dresden"
"1390","Rotterdam","Marseille"
"1391","Berlin","Augsburg"
"1392","Vienna","Cologne"
"1393","Pardubice","Berlin"
"1394","Zaragoza","Girona"
"1395","Hamburg","Saarbruecken"
"1396","Vienna","Bologna"
"1397","Brno","Hamburg"
"1398","Amsterdam","Cologne"
"1399","Naples","Verona"
"1400","Nuremberg","Hamburg"
"1401","Lugano","Venice"
"1402","Graz","Prague"
"1403","Munich","Budapest"
"1404","Nuremberg","Rostock"
"1405","Vienna","Duesseldorf"
"1406","Amsterdam","Linz"
"1407","Stuttgart","Dresden"
"1408","Prague","Poprad"
"1409","Catania","Genoa"
"1410","Lisbon","Porto"
"1411","Mannheim","Marseille"
"1412","Glasgow","Birmingham"
"1413","Pardubice","Brno"
"1414","Lille","Chambery-Savoie"
"1415","Exeter","Cardiff"
"1416","Cardiff","Exeter"
"1417","Florence","Trieste"
"1418","Birmingham","Southampton"
"1419","Nantes","Brussels"
"1420","Augsburg","Hannover"
"1421","Bordeaux","Lille"
"1422","Saarbruecken","Berlin"
"1423","Bratislava","Wroclaw"
"1424","Venice","Augsburg"
"1425","Frankfurt","Basel"
"1426","Nuremberg","Liege"
"1427","Manchester","Glasgow"
"1428","Mannheim","Amsterdam"
"1429","Mannheim","Lyon"
"1430","Munich","Ljubljana"
"1431","Lamezia Terme","Catania"
"1432","Tampere","Lappeenranta"
"1433","Lyon","Nantes"
"1434","Zurich","Verona"
"1435","Paris","Augsburg"
"1436","Salzburg","Florence"
"1437","Dresden","Dortmund"
"1438","Bologna","Naples"
"1439","Krakow","Prague"
"1440","Dresden","Frankfurt"
"1441","Istanbul","Ankara"
"1442","Gdansk","Katowice"
"1443","Pardubice","Graz"
"1444","Antwerp","Marseille"
"1445","Lyon","Nice"
"1446","Mannheim","Salzburg"
"1447","Katowice","Poznan"
"1448","Ostrava","Poznan"
"1449","Dresden","Rostock"
"1450","Bratislava","Salzburg"
"1451","Duesseldorf","Stuttgart"
"1452","Saarbruecken","Dresden"
"1453","Rijeka","Zagreb"
"1454","Metz","Montpellier"
"1455","Verona","Vienna"
"1456","Bremen","Zurich"
"1457","Bremen","Munich"
"1458","Bremen","Basel"
"1459","Geneva","Venice"
"1460","Krakow","Poznan"
"1461","Lyon","Paris"
"1462","Milan","Munich"
"1463","Innsbruck","Prague"
"1464","Nantes","Strasbourg"
"1465","Bordeaux","Nantes"
"1466","Hamburg","Munich"
"1467","Westerland","Hannover"
"1468","Ostrava","Gdansk"
"1469","Salzburg","Zagreb"
"1470","Graz","Klagenfurt"
"1471","Augsburg","Budapest"
"1472","Strasbourg","Vienna"
"1473","Cologne","Stuttgart"
"1474","Munich","Basel"
"1475","Friedrichshafen","Mannheim"
"1476","Hannover","Dresden"
"1477","Lyon","Luxembourg"
"1478","Ankara","Izmir"
"1479","Augsburg","Hamburg"
"1480","Ljubljana","Augsburg"
"1481","Pisa","Rome"
"1482","Pisa","Naples"
"1483","Edinburgh","Leeds"
"1484","Poprad","Pardubice"
"1485","Pardubice","Dresden"
"1486","Lamezia Terme","Genoa"
"1487","Salzburg","Venice"
"1488","Salzburg","Paris"
"1489","Marseille","Bordeaux"
"1490","Prague","Kosice"
"1491","Bern","Dortmund"
"1492","Cologne","Nuremberg"
"1493","Timisoara","Iasi"
"1494","Lamezia Terme","Bologna"
"1495","Prague","Innsbruck"
"1496","Linz","Hannover"
"1497","Timisoara","Cluj-Napoca"
"1498","Paris","Cologne"
"1499","Lamezia Terme","Palermo"
"1500","Duesseldorf","Westerland"
"1501","Linz","Liege"
"1502","Lyon","Metz"
"1503","Krakow","Ostrava"
"1504","Hannover","Vienna"
"1505","Malaga","Sevilla"
"1506","Marseille","Amsterdam"
"1507","Lille","Amsterdam"
"1508","Graz","Mannheim"
"1509","Paderborn","Munich"
"1510","Nice","Lyon"
"1511","Stuttgart","Hannover"
"1512","Budapest","Wroclaw"
"1513","Klagenfurt","Munich"
"1514","Marseille","Metz"
"1515","Basel","Munich"
"1516","Rimini","Trieste"
"1517","Mannheim","Cologne"
"1518","Turin","Pescara"
"1519","Birmingham","Glasgow"
"1520","Kosice","Pardubice"
"1521","Strasbourg","Frankfurt"
"1522","Naples","Genoa"
"1523","Liege","Dortmund"
"1524","Munich","Zagreb"
"1525","Berlin","Saarbruecken"
"1526","Vienna","Strasbourg"
"1527","Basel","Augsburg"
"1528","Sevilla","Malaga"
"1529","Innsbruck","Augsburg"
"1530","Augsburg","Innsbruck"
"1531","Newcastle","Glasgow"
"1532","Kosice","Ostrava"
"1533","Izmir","Ankara"
"1534","Genoa","Klagenfurt"
"1535","Lamezia Terme","Florence"
"1536","Lamezia Terme","Pisa"
"1537","Venice","Salzburg"
"1538","Innsbruck","Malmo"
"1539","Berlin","Bremen"
"1540","Doncaster","Edinburgh"
"1541","Vienna","Poprad"
"1542","Timisoara","Constanta"
"1543","Hannover","Westerland"
"1544","Turin","Rimini"
"1545","Hamburg","Augsburg"
"1546","Verona","Naples"
"1547","Bordeaux","Montpellier"
"1548","Stuttgart","Vienna"
"1549","Innsbruck","Budapest"
"1550","Amsterdam","Basel"
"1551","Rimini","Rome"
"1552","Rostock","Cologne"
"1553","Rostock","Dortmund"
"1554","Dortmund","Liege"
"1555","Hannover","Zurich"
"1556","Florence","Munich"
"1557","Innsbruck","Bremen"
"1558","Bratislava","Split"
"1559","Zaragoza","Alicante"
"1560","Klagenfurt","Dortmund"
"1561","Antwerp","Liege"
"1562","Exeter","Glasgow"
"1563","Graz","Wroclaw"
"1564","Marseille","Strasbourg"
"1565","Zurich","Mannheim"
"1566","Zurich","Duesseldorf"
"1567","Lille","Bordeaux"
"1568","Nice","Strasbourg"
"1569","Graz","Katowice"
"1570","Amsterdam","Innsbruck"
"1571","Naples","Florence"
"1572","Graz","Warsaw"
"1573","Cologne","Westerland"
"1574","Valencia","Sevilla"
"1575","Graz","Pardubice"
"1576","Pardubice","Warsaw"
"1577","Naples","Bologna"
"1578","Marseille","Nantes"
"1579","Zagreb","Innsbruck"
"1580","Amsterdam","Marseille"
"1581","Friedrichshafen","Cologne"
"1582","Iasi","Constanta"
"1583","Linz","Paris"
"1584","Augsburg","Zagreb"
"1585","Salzburg","Milan"
"1586","Vienna","Milan"
"1587","Valladolid","Alicante"
"1588","Florence","Klagenfurt"
"1589","Vienna","Liege"
"1590","Innsbruck","Friedrichshafen"
"1591","Catania","Pisa"
"1592","Verona","Lugano"
"1593","Amsterdam","Maastricht"
"1594","Salzburg","Hamburg"
"1595","Hannover","Linz"
"1596","Gdansk","Wroclaw"
"1597","Wroclaw","Bratislava"
"1598","Munich","Amsterdam"
"1599","Cologne","Paderborn"
"1600","Mannheim","Zurich"
"1601","Rimini","Pescara"
"1602","Basel","Bremen"
"1603","Zagreb","Graz"
"1604","Plymouth","Manchester"
"1605","Kosice","Prague"
"1606","Barcelona","Murcia"
"1607","Katowice","Graz"
"1608","Valencia","Valladolid"
"1609","Sevilla","Valencia"
"1610","Amsterdam","Mannheim"
"1611","Cologne","Augsburg"
"1612","Glasgow","Leeds"
"1613","Ostrava","Krakow"
"1614","Marseille","Brussels"
"1615","Budapest","Innsbruck"
"1616","Munich","Bremen"
"1617","Klagenfurt","Duesseldorf"
"1618","Verona","Salzburg"
"1619","Linz","Budapest"
"1620","Gothenburg","Jonkoping"
"1621","Zurich","Cologne"
"1622","Dresden","Hamburg"
"1623","Bratislava","Dresden"
"1624","Innsbruck","Cologne"
"1625","Strasbourg","Salzburg"
"1626","Palermo","Lamezia Terme"
"1627","Rimini","Venice"
"1628","Salzburg","Frankfurt"
"1629","Pardubice","Hamburg"
"1630","Bremen","Westerland"
"1631","Marseille","Mannheim"
"1632","Katowice","Prague"
"1633","Liege","Duesseldorf"
"1634","Rostock","Nuremberg"
"1635","Innsbruck","Berlin"
"1636","Stuttgart","Westerland"
"1637","Dortmund","Nuremberg"
"1638","Munich","Verona"
"1639","Bristol","Doncaster"
"1640","Burgas","Varna"
"1641","Nuremberg","Linz"
"1642","Westerland","Frankfurt"
"1643","Katowice","Ostrava"
"1644","Ostrava","Graz"
"1645","Oviedo","Valencia"
"1646","Krakow","Gdansk"
"1647","Mannheim","Bremen"
"1648","Innsbruck","Frankfurt"
"1649","Stuttgart","Dortmund"
"1650","Stuttgart","Ljubljana"
"1651","Paris","Linz"
"1652","Cologne","Vienna"
"1653","Klagenfurt","Augsburg"
"1654","Metz","Lyon"
"1655","Naples","Trieste"
"1656","Alicante","Zaragoza"
"1657","Wroclaw","Graz"
"1658","Newcastle","Plymouth"
"1659","Vienna","Kosice"
"1660","Verona","Klagenfurt"
"1661","Augsburg","Bremen"
"1662","Gothenburg","Vaxjo"
"1663","Varna","Plovdiv"
"1664","Salamanca","Barcelona"
"1665","Budapest","Dresden"
"1666","Graz","Saarbruecken"
"1667","Hamburg","Linz"
"1668","Linz","Rostock"
"1669","Klagenfurt","Linz"
"1670","Salzburg","Duesseldorf"
"1671","Bologna","Klagenfurt"
"1672","Klagenfurt","Florence"
"1673","Southampton","Birmingham"
"1674","Liverpool","Norwich"
"1675","Zurich","Ljubljana"
"1676","Genoa","Florence"
"1677","Augsburg","Linz"
"1678","Ostrava","Katowice"
"1679","Basel","Stuttgart"
"1680","Ostend","Liege"
"1681","Nuremberg","Innsbruck"
"1682","Pisa","Catania"
"1683","Krakow","Pardubice"
"1684","Trieste","Verona"
"1685","Exeter","Leeds"
"1686","Pisa","Turin"
"1687","Naples","Pisa"
"1688","Florence","Genoa"
"1689","Dortmund","Westerland"
"1690","Plymouth","Leeds"
"1691","Liege","Antwerp"
"1692","Pardubice","Katowice"
"1693","Birmingham","Aberdeen"
"1694","Doncaster","Aberdeen"
"1695","Liege","Ostend"
"1696","Vienna","Augsburg"
"1697","Maastricht","Amsterdam"
"1698","Amsterdam","Augsburg"
"1699","Linz","Klagenfurt"
"1700","Linz","Cologne"
"1701","Leeds","Plymouth"
"1702","Bristol","Edinburgh"
"1703","Newquay","Exeter"
"1704","Norwich","Liverpool"
"1705","Nantes","Bordeaux"
"1706","Amsterdam","Nuremberg"
"1707","Reus","Madrid"
"1708","Dortmund","Stuttgart"
"1709","Plymouth","Edinburgh"
"1710","Salzburg","Strasbourg"
"1711","Dresden","Mannheim"
"1712","Westerland","Cologne"
"1713","Klagenfurt","Milan"
"1714","Mannheim","Dresden"
"1715","Plovdiv","Varna"
"1716","Zaragoza","Valladolid"
"1717","Westerland","Duesseldorf"
"1718","Doncaster","Bristol"
"1719","Memmingen","Cologne"
"1720","Innsbruck","Mannheim"
"1721","Klagenfurt","Genoa"
"1722","Valencia","Reus"
"1723","Stuttgart","Bremen"
"1724","Linz","Strasbourg"
"1725","Augsburg","Strasbourg"
"1726","Nantes","Montpellier"
"1727","Dresden","Prague"
"1728","Hannover","Stuttgart"
"1729","Glasgow","Doncaster"
"1730","Stuttgart","Duesseldorf"
"1731","Hannover","Mannheim"
"1732","Saarbruecken","Munich"
"1733","Linz","Stuttgart"
"1734","Augsburg","Cologne"
"1735","Zaragoza","Salamanca"
"1736","Hamburg","Salzburg"
"1737","Rome","Rimini"
"1738","Catania","Florence"
"1739","Stuttgart","Linz"
"1740","Bern","Cologne"
"1741","Graz","Innsbruck"
"1742","Exeter","Aberdeen"
"1743","Cologne","Innsbruck"
"1744","Aberdeen","Leeds"
"1745","Duesseldorf","Amsterdam"
"1746","Trieste","Bologna"
"1747","Klagenfurt","Bologna"
"1748","Pescara","Rimini"
"1749","Metz","Marseille"
"1750","Marseille","Luxembourg"
"1751","Zurich","Dortmund"
"1752","Reus","Valencia"
"1753","Bristol","Newcastle"
"1754","Poznan","Ostrava"
"1755","Nuremberg","Amsterdam"
"1756","Leeds","Aberdeen"
"1757","Aberdeen","Birmingham"
"1758","Exeter","Newcastle"
"1759","Varna","Burgas"
"1760","Pardubice","Karlovy Vary"
"1761","Genoa","Lugano"
"1762","Klagenfurt","Stuttgart"
"1763","Edinburgh","Exeter"
"1764","Rome","Klagenfurt"
"1765","Bologna","Trieste"
"1766","Zurich","Frankfurt"
"1767","Frankfurt","Zurich"
"1768","Dortmund","Friedrichshafen"
"1769","Genoa","Naples"
"1770","Alicante","Oviedo"
"1771","Valencia","Oviedo"
"1772","Liege","Linz"
"1773","Edinburgh","Bristol"
"1774","Ostrava","Karlovy Vary"
"1775","Frankfurt","Linz"
"1776","Friedrichshafen","Duesseldorf"
"1777","Madrid","Reus"
"1778","Bremen","Augsburg"
"1779","Catania","Lamezia Terme"
"1780","Pisa","Lamezia Terme"
"1781","Bern","Mannheim"
"1782","Innsbruck","Stuttgart"
"1783","Bern","Frankfurt"
"1784","Bern","Bremen"
"1785","Nantes","Lyon"
"1786","Duesseldorf","Linz"
"1787","Leeds","Glasgow"
"1788","Aberdeen","Newcastle"
"1789","Budapest","Augsburg"
"1790","Cologne","Amsterdam"
"1791","Birmingham","Doncaster"
"1792","Inverness","Doncaster"
"1793","Poprad","Vienna"
"1794","Aberdeen","Doncaster"
"1795","Bratislava","Innsbruck"
"1796","Pardubice","Krakow"
"1797","Augsburg","Saarbruecken"
"1798","Bremen","Innsbruck"
"1799","Verona","Turin"
"1800","Lille","Nantes"
"1801","Rimini","Turin"
"1802","Exeter","Doncaster"
"1803","Doncaster","Glasgow"
"1804","Zaragoza","Santiago de Compostela"
"1805","Aberdeen","Exeter"
"1806","Bremen","Stuttgart"
"1807","Paderborn","Cologne"
"1808","Leeds","Exeter"
"1809","Duesseldorf","Innsbruck"
"1810","Santiago de Compostela","Zaragoza"
"1811","Florence","Catania"
"1812","Westerland","Berlin"
"1813","Berlin","Westerland"
