"","from_city","to_city"
"217","London","Rotterdam"
"218","Gothenburg","Umea"
"219","Brno","Vienna"
"220","Brno","Prague"
"221","Brno","Budapest"
"222","Hamburg","Berlin"
"223","Bucharest","Iasi"
"224","Liege","Maastricht"
"225","Brussels","Liege"
"226","Verona","Bologna"
"227","Verona","Venice"
"228","Metz","Luxembourg"
"229","Frankfurt","Cologne"
"230","Salzburg","Ljubljana"
"231","Mannheim","Augsburg"
"232","Augsburg","Ljubljana"
"233","Stuttgart","Friedrichshafen"
"234","Vienna","Klagenfurt"
"235","London","Cardiff"
"236","Palermo","Catania"
"237","Rome","Milan"
"238","Southampton","Bristol"
"239","Bucharest","Constanta"
"240","Warsaw","Budapest"
"241","Budapest","Bucharest"
"242","Amsterdam","Frankfurt"
"243","Frankfurt","Vienna"
"244","Vienna","Zagreb"
"245","Zagreb","Split"
"246","Karlovy Vary","Prague"
"247","Prague","Krakow"
"248","Katowice","Warsaw"
"249","Katowice","Vienna"
"250","Bologna","Ancona"
"251","Venice","Bologna"
"252","Rome","Ancona"
"253","Lugano","Zurich"
"254","Norwich","London"
"255","Norwich","Manchester"
"256","Pisa","Florence"
"257","Chambery-Savoie","Milan"
"258","Milan","Florence"
"259","Valladolid","Zaragoza"
"260","Gdansk","Berlin"
"261","Brussels","Nantes"
"262","Budapest","Bratislava"
"263","Metz","Saarbruecken"
"264","Metz","Strasbourg"
"265","Strasbourg","Basel"
"266","Copenhagen","Gothenburg"
"267","Vienna","Hamburg"
"268","Hamburg","Gothenburg"
"269","Budapest","Hamburg"
"270","Antwerp","Chambery-Savoie"
"271","Chambery-Savoie","Turin"
"272","Milan","Turin"
"273","Faro","Lisbon"
"274","Berlin","Ostrava"
"275","Barcelona","Paris"
"276","Paris","Brussels"
"277","Brussels","Ostend"
"278","Lille","Kortrijk"
"279","Kortrijk","Ostend"
"280","Antwerp","Ostend"
"281","Podgorica","Belgrade"
"282","Rotterdam","London"
"283","Milan","Basel"
