from_city,to_city,url,price
Esbjerg,Aarhus,https://www.thetrainline.com/en/train-times/esbjerg-to-aarhus,NA
Ronneby,Copenhagen,https://www.thetrainline.com/en/train-times/ronneby-to-copenhagen,NA
Barcelona,Alicante,https://www.thetrainline.com/en/train-times/barcelona-to-alicante,from €5.35
Copenhagen,Hamburg,https://www.thetrainline.com/en/train-times/copenhagen-to-hamburg,from €28.90
Madrid,Alicante,https://www.thetrainline.com/en/train-times/madrid-to-alicante,from €7
Malmo,Hamburg,https://www.thetrainline.com/en/train-times/malmo-to-hamburg,NA
Barcelona,Valencia,https://www.thetrainline.com/en/train-times/barcelona-to-valencia,from €2.15
Brussels,Antwerp,https://www.thetrainline.com/en/train-times/brussels-to-antwerp,from €9.70
Stuttgart,Munich,https://www.thetrainline.com/en/train-times/stuttgart-to-munich,from €12.90
Munich,Salzburg,https://www.thetrainline.com/en/train-times/munich-to-salzburg,NA
Salzburg,Klagenfurt,https://www.thetrainline.com/en/train-times/salzburg-to-klagenfurt,NA
Stuttgart,Salzburg,https://www.thetrainline.com/en/train-times/stuttgart-to-salzburg,NA
Basel,Zurich,https://www.thetrainline.com/en/train-times/basel-to-zurich,from €8.92
Helsinki,Tampere,https://www.thetrainline.com/en/train-times/helsinki-to-tampere,NA
Turku,Tampere,https://www.thetrainline.com/en/train-times/turku-to-tampere,NA
Cagliari,Olbia,https://www.thetrainline.com/en/train-times/cagliari-to-olbia,from €18
Manchester,Leeds,https://www.thetrainline.com/en/train-times/manchester-to-leeds,from €4.28
Manchester,London,https://www.thetrainline.com/en/train-times/manchester-to-london,from €34.28
Manchester,Liverpool,https://www.thetrainline.com/en/train-times/manchester-to-liverpool,from €3.55
Salzburg,Graz,https://www.thetrainline.com/en/train-times/salzburg-to-graz,NA
Budapest,Graz,https://www.thetrainline.com/en/train-times/budapest-to-graz,from €18.50
Malmo,Copenhagen,https://www.thetrainline.com/en/train-times/malmo-to-copenhagen,NA
Malmo,Salzburg,https://www.thetrainline.com/en/train-times/malmo-to-salzburg,NA
Bologna,Venice,https://www.thetrainline.com/en/train-times/bologna-to-venice,from €7.90
Venice,Trieste,https://www.thetrainline.com/en/train-times/venice-to-trieste,from €5.90
Verona,Trieste,https://www.thetrainline.com/en/train-times/verona-to-trieste,NA
Budapest,Vienna,https://www.thetrainline.com/en/train-times/budapest-to-vienna,from €9
Krakow,Warsaw,https://www.thetrainline.com/en/train-times/krakow-to-warsaw,NA
Verona,Milan,https://www.thetrainline.com/en/train-times/verona-to-milan,NA
Exeter,Bristol,https://www.thetrainline.com/en/train-times/exeter-to-bristol,NA
Tallinn,Tartu,https://www.thetrainline.com/en/train-times/tallinn-to-tartu,NA
Bristol,Cardiff,https://www.thetrainline.com/en/train-times/bristol-to-cardiff,NA
Exeter,London,https://www.thetrainline.com/en/train-times/exeter-to-london,from €17.02
London,Brussels,https://www.thetrainline.com/en/train-times/london-to-brussels,from €58
Salamanca,Madrid,https://www.thetrainline.com/en/train-times/salamanca-to-madrid,from €23.90
Madrid,Zaragoza,https://www.thetrainline.com/en/train-times/madrid-to-zaragoza,from €7
Rimini,Bologna,https://www.thetrainline.com/en/train-times/rimini-to-bologna,from €7.90
Bologna,Florence,https://www.thetrainline.com/en/train-times/bologna-to-florence,from €7.90
Bologna,Rome,https://www.thetrainline.com/en/train-times/bologna-to-rome,from €9.90
Vienna,Bucharest,https://www.thetrainline.com/en/train-times/vienna-to-bucharest,NA
London,Bournemouth,https://www.thetrainline.com/en/train-times/london-to-bournemouth,from €13.83
Antwerp,Rotterdam,https://www.thetrainline.com/en/train-times/antwerp-to-rotterdam,from €14
Antwerp,Amsterdam,https://www.thetrainline.com/en/train-times/antwerp-to-amsterdam,from €21
Antwerp,Brussels,https://www.thetrainline.com/en/train-times/antwerp-to-brussels,from €9.70
Glasgow,Edinburgh,https://www.thetrainline.com/en/train-times/glasgow-to-edinburgh,from €7.22
Brussels,London,https://www.thetrainline.com/en/train-times/brussels-to-london,from €57
London,Edinburgh,https://www.thetrainline.com/en/train-times/london-to-edinburgh,from €24.36
Zurich,Bratislava,https://www.thetrainline.com/en/train-times/zurich-to-bratislava,from €37.40
Vienna,Ostrava,https://www.thetrainline.com/en/train-times/vienna-to-ostrava,NA
Budapest,Ostrava,https://www.thetrainline.com/en/train-times/budapest-to-ostrava,NA
Stockholm,Norrkoping,https://www.thetrainline.com/en/train-times/stockholm-to-norrkoping,NA
Copenhagen,Norrkoping,https://www.thetrainline.com/en/train-times/copenhagen-to-norrkoping,NA
Katowice,Krakow,https://www.thetrainline.com/en/train-times/katowice-to-krakow,NA
Warsaw,Krakow,https://www.thetrainline.com/en/train-times/warsaw-to-krakow,NA
Wroclaw,Krakow,https://www.thetrainline.com/en/train-times/wroclaw-to-krakow,NA
Vienna,Krakow,https://www.thetrainline.com/en/train-times/vienna-to-krakow,NA
Venice,Florence,https://www.thetrainline.com/en/train-times/venice-to-florence,from €8.90
Verona,Florence,https://www.thetrainline.com/en/train-times/verona-to-florence,NA
Zaragoza,Barcelona,https://www.thetrainline.com/en/train-times/zaragoza-to-barcelona,from €7
Zaragoza,Madrid,https://www.thetrainline.com/en/train-times/zaragoza-to-madrid,from €5
Helsinki,Turku,https://www.thetrainline.com/en/train-times/helsinki-to-turku,NA
Lappeenranta,Helsinki,https://www.thetrainline.com/en/train-times/lappeenranta-to-helsinki,NA
Naples,Lamezia Terme,https://www.thetrainline.com/en/train-times/naples-to-lamezia-terme,from €9.90
Florence,Lamezia Terme,https://www.thetrainline.com/en/train-times/florence-to-lamezia-terme,from €9.50
Wroclaw,Warsaw,https://www.thetrainline.com/en/train-times/wroclaw-to-warsaw,NA
Aberdeen,Edinburgh,https://www.thetrainline.com/en/train-times/aberdeen-to-edinburgh,from €11.14
Aberdeen,Glasgow,https://www.thetrainline.com/en/train-times/aberdeen-to-glasgow,from €11.14
Strasbourg,Metz,https://www.thetrainline.com/en/train-times/strasbourg-to-metz,from €10
Paris,Metz,https://www.thetrainline.com/en/train-times/paris-to-metz,from €16
Salamanca,Valladolid,https://www.thetrainline.com/en/train-times/salamanca-to-valladolid,from €10
Clermont-Ferrand,Lyon,https://www.thetrainline.com/en/train-times/clermont-ferrand-to-lyon,from €18.60
Turin,Lyon,https://www.thetrainline.com/en/train-times/turin-to-lyon,from €25
Turku,Helsinki,https://www.thetrainline.com/en/train-times/turku-to-helsinki,NA
Stockholm,Berlin,https://www.thetrainline.com/en/train-times/stockholm-to-berlin,NA
Aalborg,Copenhagen,https://www.thetrainline.com/en/train-times/aalborg-to-copenhagen,NA
Aalborg,Aarhus,https://www.thetrainline.com/en/train-times/aalborg-to-aarhus,NA
Aarhus,Hamburg,https://www.thetrainline.com/en/train-times/aarhus-to-hamburg,from €28.90
Vienna,Bratislava,https://www.thetrainline.com/en/train-times/vienna-to-bratislava,from €9.80
Hamburg,Vienna,https://www.thetrainline.com/en/train-times/hamburg-to-vienna,from €28.20
Newcastle,Edinburgh,https://www.thetrainline.com/en/train-times/newcastle-to-edinburgh,from €9.67
